影片,导演,编剧,主演,类型,国家/地区,语言,上映日期
一呼一吸,安迪·瑟金斯,威廉姆·尼克尔森,安德鲁·加菲尔德;克莱尔·芙伊;爱德华·斯皮伊尔斯;汤姆·霍兰德;本·劳埃德-休斯;米兰达·莱森;卡米拉·拉瑟福德;查尔斯·斯特里特;佩妮·唐尼;阿米特·沙阿;乔纳森·海德;艾米莉·贝文;罗杰·阿什顿-格里菲斯;大卫·威尔莫特;帕特里克·戈弗雷;休·博纳维尔;洛琳·艾什本;萝西·凯弗利洛;西尔维斯特·格罗特;哈利·马库斯;迪恩·查尔斯·查普曼;大卫·巴特勒;安德烈·雅各布斯;泰瑞·诺顿,剧情;爱情;传记,英国,英语,2017-09-11(多伦多电影节);2017-10-27(英国)
一夜到永远？,锡比尔·塔费尔,布里格特·布贝尔;罗伯特·克劳斯;锡比尔·塔费尔,茱莉安·柯勒;马克·本雅明;多米尼克·莱奇;爱丽丝·德维尔;安娜斯塔西亚·帕帕多波卢;约翰内斯·齐尔纳;克劳迪亚·梅斯纳;马克斯·赫布雷希特;阿曼达·妲·凯莱;凯思琳·沃尔利古拉;桑德拉·科尔塔伊,爱情,德国,德语,2015-11-27(德国电视首映)
一夜情未了,Max Nichols,Mark Hammer,安娜丽·提普顿;迈尔斯·特勒;杰西卡·斯佐尔;卡迪小子;Berto Colon;约什·萨拉丁;Kellyn Lindsay;迈克尔·肖沃特;莱文·兰宾;乔伊·劳伦·亚当斯;Brian Petsos;克里斯·康罗伊;维克多·克鲁兹,喜剧;爱情,美国,英语,2014-09-26
一天,赵善浩,赵善浩,金明民;卞耀汉;申惠善;赵恩亨;刘在明,剧情;悬疑;惊悚,韩国,韩语,2017-06-15(韩国)
一定要抓住,金泓善,李赞荣;柳卡烈,白润植;成东日;千虎珍;裴宗玉;赵达焕;朴亨洙;孙钟学;李坎熙;朴智賢;金思英;吴熙俊;高圭弼;金善荷;吴炽垣;申文成;金民尚;李民雄;孙成灿;刘在明;郑侑敏,惊悚;犯罪,韩国,韩语,2017-11-29(韩国)
一对一,金基德,金基德,马东锡;李伊景;金英民;赵东仁;Teo Yoo;安智慧;赵宰龙;金重基;周喜中;崔奎华;严华永;朴素丹,惊悚;犯罪,韩国,韩语,2014-05-22(韩国)
一年级生,贾斯汀·查德维克,安·皮科克,娜奥米·哈里斯;托尼·戈罗奇;山姆·费尔;尼克·雷丁;奥利弗· 李多度,剧情;传记,英国 / 美国 / 肯尼亚,英语,2011-06-24(英国)
一念天堂,张承,张承,沈腾;马丽;杜晓宇;林雪;王子子;李元鹏;苏志丹;徐若琪;齐海洋,喜剧,中国大陆,汉语普通话,2015-12-31(中国大陆)
一念无明,黄进,黄进;陈楚珩,曾志伟;余文乐;方皓玟;金燕玲;陈学文;麦子乐;吴肇轩;税瀞熙,剧情;家庭,香港,粤语,2017-04-07(中国大陆);2016-09-08(多伦多电影节);2017-03-30(香港)
一无所有,迈克·李,迈克·李,蒂莫西·斯波;莱丝利·曼维尔;Alison Garland;詹姆斯·柯登;莎莉·霍金斯,剧情,英国 / 法国,英语 / 阿拉伯语 / 法语,2002-09-09
一日情人,菲利普·加瑞尔,菲利普·加瑞尔;让-克洛德·卡里埃;卡罗利娜·德吕亚-加雷尔;阿莱特·朗曼,埃里克·卡拉瓦卡;艾斯特·加瑞尔;露易丝·谢维洛特;保罗·图坎格;费利克斯·基赛勒;米歇尔·查瑞尔;克里斯蒂安·布耶特,剧情,法国,法语,2017-05-19(戛纳电影节);2017-05-31(法国)
一条狗的使命,拉斯·霍尔斯道姆,W·布鲁斯·卡梅伦;凯瑟琳·迈克;奥黛丽·威尔斯;玛雅·福布斯;沃利·亚历斯戴尔,乔什·加德;布丽特·罗伯森;丹尼斯·奎德;佩吉·利普顿;K·J·阿帕;布莱斯·吉扎尔;朱丽叶·赖伦斯;卢克·科比;加布里埃尔·罗斯;迈克尔·博夫舍维尔;洛根·米勒;柯比·豪厄-尔巴普蒂斯特;普奇·豪尔;约翰·奥提兹;妮科尔·勒普拉卡;彼特·科拉米斯;卡罗琳·凯芙;简·迈克格雷格;科维西·阿梅扬;卡琳·博姆拜克;娜奥米·弗伦内特,剧情;喜剧;家庭,美国,英语,2017-03-03(中国大陆);2017-01-27(美国)
一条龙,杨景模,杨景模,任时完;朴有焕;晋久;朴炳垠;李东辉;王智媛;金善映,剧情;犯罪,韩国,韩语,2017-03-29(韩国)
一样的月光,派翠西亚·里根,Ligiah Villalobos,凯特·德尔·卡斯蒂洛;杰西·加西亚;亚美莉卡·费雷拉;阿德里安·阿龙索,剧情,美国 / 墨西哥,英语 / 西班牙语,2007-07-27
一次别离,阿斯哈·法哈蒂,阿斯哈·法哈蒂,佩曼·莫阿迪;蕾拉·哈塔米;萨瑞·巴亚特;沙哈布·侯赛尼;萨日娜·法哈蒂;梅里拉·扎雷伊;阿里-阿萨哈·萨哈巴齐;巴巴克·卡里米;吉米娅·侯赛伊妮;希尔·亚齐丹巴克什;萨哈巴努·佐哈多,剧情;家庭,伊朗 / 法国,波斯语,2012-11-13(中国大陆);2011-02-15(柏林电影节);2011-03-16(伊朗)
一次邂逅,丽萨·阿祖洛斯,丽萨·阿祖洛斯,苏菲·玛索;弗朗索瓦·克鲁塞;丽萨·阿祖洛斯;亚历山德拉·阿斯提耶尔;亚瑟·邦扎康;乔纳森·科恩;尼尔斯·施内德;斯蒂芬妮·穆拉特;奥利维亚·科特;Syrus Shahidi;莉莉·塔耶布;朱尔·本谢特里,剧情;爱情,法国,法语 / 英语,2014-04-23(法国)
一步之遥,姜文,姜文;郭俊立;王朔;廖一梅;述平;阎云飞;孙悦;孙睿;于彦琳,姜文;葛优;周韵;舒淇;文章;王志文;洪晃;刘利年;那英;刘索拉;牛犇;姜洪齐,喜剧;爱情;冒险,中国大陆 / 美国 / 香港,汉语普通话 / 英语 / 上海话 / 法语 / 日语 / 满语 / 越南语 / 拉丁语,2014-12-18(中国大陆)
一江春水向东流,蔡楚生;郑君里,蔡楚生;郑君里,白杨;陶金;舒绣文;上官云珠;吴茵,剧情,中国,汉语普通话,1947(中国大陆);2017-10-27(中国大陆重映)
一点小信仰,Jon Avnet,Jon Avnet,Laurence Fishburne;Bradley Whitford;Martin Landau,剧情,美国,英语,2011-11-27
一狱一世界：高登阔少蹲监日记,孙立基,胡耀辉,王宗尧;张建声;蔡瀚亿;廖启智;何家驹;黄光亮;姜皓文;张松枝;陈奂仁;余安安;吴志雄;卢惠光;徐锦江,喜剧,香港,粤语,2015-05-28(香港)
一生一世,邹佡,邹佡;刘浩良;张卜牛,谢霆锋;高圆圆;杜海涛;洛诗;林雪;车晓;李文玲;史彭元;施欣怡;秦昊;安雅;佟大为;高捷;臧天朔,爱情,中国大陆 / 香港,汉语普通话 / 英语 / 粤语 / 上海话,2014-09-05(中国大陆);2014-09-04(香港)
一级机密,洪基善,安永洙,金相庆;金玉彬;崔武成;崔奎华;金炳哲;申承焕;林承代;徐贤宇;丁一宇;柳善;金重基;李智媛;金景南;朴忠善;黄宝拉;李杭娜,剧情;惊悚;犯罪,韩国,韩语,2017-07-20(富川奇幻电影节);2018-01-24(韩国)
一级谋杀,Jeff Woolnough,Ron Base,罗伯·劳;莱斯利·霍普;汤姆·麦卡穆斯,悬疑;惊悚;犯罪,加拿大 / 英国,英语,1996
一路上有你,马克·斯蒂文·约翰逊,约翰·欧文;马克·斯蒂文·约翰逊,Ian Michael Smith;约瑟夫·梅泽罗;艾什莉·贾德;奥利弗·普莱特;大卫·斯特雷泽恩;丹娜·爱薇,剧情;喜剧,美国,英语,1998-09-11(美国)
一路向前,侯亮,侯亮,陈赫;姚星彤;常远;陆海涛;张颂文;张佑赫;赵奕欢,喜剧,中国大陆,汉语普通话,2015-08-06(中国大陆)
一路向南,覃旻,关丹照,冯建宇;张晓林,剧情;喜剧;运动,中国大陆,汉语普通话,2016-05-21(中国大陆)
一路惊喜,金依萌;潘安子;章家瑞;宋迪,金依萌;张艺凡,郭采洁;萧敬腾;赵丽颖;凤小岳;夏雨;梅婷;张译;林家栋;大鹏;蒋劲夫;孙艺洲;张辛苑;阚清子;刘维;易小星;乔杉;金依萌;白客;葛布;蓝燕,喜剧;爱情;家庭,中国大陆,汉语普通话,2015-02-06(中国大陆)
一路有你,周青元,李勇昌,李世平;本·法伊弗;尤凤音,剧情;喜剧;家庭,马来西亚,汉语普通话 / 粤语 / 英语 / 马来语 / 闽南语,2014-01-30(马来西亚);2014-03-20(新加坡)
一路顺风,钟孟宏,钟孟宏,许冠文;纳豆;戴立忍;吴中天;庹宗华;陈以文;梁赫群;黄健玮;林美秀;陈玉勋;庄益增;金士杰;维他亚·潘斯林加姆,剧情;喜剧;犯罪;冒险,台湾,汉语普通话 / 闽南语 / 粤语 / 泰语,2016-09-09(多伦多电影节);2016-11-18(台湾)
一锤定音,里克·罗曼·沃夫,里克·罗曼·沃夫,尼古拉·科斯特-瓦尔道;蕾克·贝尔;乔·博恩瑟;杰弗里·多诺万;欧玛瑞·哈德威克;霍特·麦克卡兰尼;洁西·斯克拉姆;本杰明·布拉特;迈克尔·兰德斯;艾莫里·科恩;伊万·琼斯;胡安·巴勃罗·拉瓦;克里斯·勃朗宁;萨拉·明妮奇;基思·雅各;马特·杰拉德,剧情;惊悚;犯罪,美国,英语,2017-06-17(洛杉矶电影节);2017-08-18(美国)
丁丁历险记,史蒂文·斯皮尔伯格,史蒂文·莫法特;埃德加·赖特;乔·考尼什;埃尔热,杰米·贝尔;安迪·瑟金斯;丹尼尔·克雷格;西蒙·佩吉;尼克·弗罗斯特;加利·艾尔维斯;托比·琼斯,动作;动画;悬疑;冒险,美国 / 新西兰,英语,2011-11-15(中国大陆);2011-12-21(美国)
七个神经病,马丁·麦克唐纳,马丁·麦克唐纳,科林·法瑞尔;山姆·洛克威尔;伍迪·哈里森;克里斯托弗·沃肯;艾比·考尼什;海伦娜·马特森;迈克尔·斯图巴;迈克尔·皮特;哈利·戴恩·斯坦通;加布蕾·丝迪贝;欧嘉·柯瑞兰寇,喜剧;犯罪,英国,英语,2012-10-12(美国);2012-12-07(英国)
七十七天,赵汉唐,赵汉唐;曹金玲;高正;周侯衡;李逍雪,江一燕;赵汉唐,剧情;冒险,中国大陆,汉语普通话,2017-11-03(中国大陆)
七号少年,洛伦斯·布洛克,马可·范·格芬,马菲积斯·范德桑德·巴库曾;埃拉·琼·昂拉尔;泰格·格南德特;哈里纳·雷金;芮妮·索滕代克;汉斯·达格列特;门诺·范·贝克姆,动作;科幻;惊悚,荷兰 / 匈牙利,荷兰语,2015-02-19(荷兰)
七宗罪孽的救赎,Vishal Bhardwaj,Vishal Bhardwaj,佩丽冉卡·曹帕拉;尼尔·尼汀·穆科什;约翰·亚伯拉罕;伊尔凡·可汗 Irfan Khan;康柯纳·森·沙尔玛 Konkona Sen Sharma;纳萨鲁丁·沙 Naseeruddin Shah,剧情;悬疑,印度,北印度语 / 英语,2011-02-18
七月与安生,曾国祥,林咏琛;李媛;许伊萌;吴楠;安妮宝贝,周冬雨;马思纯;李程彬;李萍;蔡纲;蒙亭宜;沙全泽;姚欣言;李昊芳;蒋亭轩,剧情;爱情,中国大陆 / 香港,汉语普通话,2016-09-14(中国大陆);2016-10-27(香港)
万万没想到,易小星,易小星;刘循子墨;柯达;胡舒欣;王伟杰,白客;杨子姗;陈柏霖;马天宇;刘循子墨;披拉·尼迪裴善官;易小星;曾志伟;赵文瑄;贾玲;孔连顺;佟丽娅;乔任梁;刘浩;张本煜;葛布;柯达;赵英俊;韩寒,喜剧;奇幻;冒险;古装,中国大陆,汉语普通话,2015-12-18(中国大陆)
万圣节传说,达伦·林恩·鲍斯曼;尼尔·马歇尔;拉齐·马凯;迈克·门德兹;保罗·索雷特;Axelle Carolyn;Adam Gierasch;Andrew Kasch;Dave Parker;Ryan Schifrin;John Skipp,达伦·林恩·鲍斯曼;尼尔·马歇尔;拉齐·马凯;迈克·门德兹;克林特·西尔斯;Axelle Carolyn;Andrew Kasch;Dave Parker;Ryan Schifrin;John Skipp,波波·斯图尔特;格蕾丝·菲普斯;奥斯丁·法尔克;阿德里安娜·巴比欧;凯尔·吉克瑞斯特;山姆·威特沃;巴瑞·波斯威克;格雷戈·格伦伯格;林·沙烨;约翰·兰迪斯;何塞·巴勃罗·坎蒂略;巴巴拉·克兰普顿;乔·丹特;亚当·格林;罗伯特·拉斯勒;诺阿·西甘;帕特·希利;斯图尔特·戈登;米克·加里斯;拉斐尔·乔丹;宝拉雅娜·麦金托什;詹姆斯·杜瓦尔;艾丽克斯·埃索;Kristina Klebe;卡罗琳·威廉姆斯;达纳·古尔德,恐怖,美国,英语,2015-07-24(加拿大奇幻电影节);2015-10-16(美国)
万圣节前夜,Damien Leone,Damien Leone,Katie Maguire;Mike Giannelli;Catherine A. Callahan,恐怖,美国,,2013
万圣节前夜的谋杀案,查理·帕尔默,阿加莎·克里斯蒂;马克·加蒂斯,大卫·苏切;佐伊·沃纳梅克;伊恩·哈拉德;阿米莉亚·布摩;黛博拉·芬德莱;朱利安·林希德-图特;Mary Higgins,剧情;悬疑;恐怖;犯罪,英国,英语,2010-05-26
万物理论,詹姆斯·马什,安东尼·麦卡滕;简·霍金,埃迪·雷德梅恩;菲丽希缇·琼斯;大卫·休里斯;艾米丽·沃森;查理·考克斯;哈里·劳埃德;艾丽丝·奥尔尤因;玛克辛·皮克;亚当·戈德利;西蒙·迈克伯尼;阿比盖尔·克鲁特登;露西·查普尔;夏洛特·霍普;拉菲拉·查普曼;汤姆·普赖尔;恩佐·科伦蒂;托马斯·莫里森;迈克尔·马库斯;格拉法德·格林;盖伊·奥利弗-沃茨;克里斯蒂安·麦凯;伊莲恩·戴维斯;乔格·尼可洛夫;维多利亚·埃姆斯利;弗兰克·勒伯夫,剧情;爱情;传记,英国 / 美国 / 日本,英语 / 法语 / 拉丁语,2014-09-07(多伦多电影节);2014-11-26(美国);2015-01-01(英国)
万物生长,李玉,李玉;魏君子;许少飞;冯唐,范冰冰;韩庚;齐溪;沈婷婷;沙溢;杨迪;张博宇;赵一维;吴莫愁;雷恪生;李梦;吕行,喜剧;爱情,中国大陆,汉语普通话,2015-04-17(中国大陆)
万箭穿心,王竞,吴楠,颜丙燕;陈刚;焦刚;李现;赵倩;王沫溪;杨鸣秋;何明兰;刘善良;黄首霞;孙仲江;张瑞田;余龙钢,剧情;家庭,中国大陆,汉语普通话 / 武汉方言,2012-11-16(中国大陆)
万能鉴定士Q：蒙娜丽莎之瞳,佐藤信介,宇田学;松岡圭祐,绫濑遥;松坂桃李;初音映莉子;皮埃尔·德隆尚;村上弘明,剧情;悬疑,日本,日语,2014-05-31(日本)
丈夫得了抑郁症,佐佐部清,青岛武,宫崎葵;堺雅人;余贵美子;大杉涟;田村三郎;中野裕太;吹越满;山本浩司;津田宽治;犬塚弘;伊崎充则,剧情;爱情;家庭,日本,日语,2011-10-08(日本)
三个老枪手,扎克·布拉夫,西奥多·梅尔菲;爱德华·坎农,迈克尔·凯恩;摩根·弗里曼;艾伦·阿金;乔伊·金;安-玛格丽特;克里斯托弗·洛伊德;彼得·塞拉菲诺威茨;马特·狄龙;玛丽亚·迪齐亚;希博汗·法隆;约翰·奥提兹;基南·汤普森;凯特琳·卡尔森;乔什·帕斯;南希·卡斯特罗,喜剧;犯罪,美国,英语,2017-04-07(美国)
三个臭皮匠,James Frawley,Janet Roach;Kirk Ellis;Michael Fleming,Moses Horwitz;Louis Feinberg;Jerome Lester Horwitz,剧情;喜剧;传记,美国,英语,2000-04-24(美国)
三人行,杜琪峰,游乃海;刘浩良;麦天枢,赵薇;古天乐;钟汉良;卢海鹏;林雪;张兆辉;谢天华;洪天明;黄浩然;龚慈恩;王梓轩;欧锦棠;何果轩;詹秉熙;菁玮;朱健钧;杨尚斌;安小龙;麦子乐;施祖男,剧情;动作;犯罪,中国大陆 / 香港,汉语普通话 / 粤语 / 英语,2016-06-24(中国大陆);2016-06-30(香港)
三伏天,乔丹·席勒,乔丹·席勒,黄璐;罗蓝山;田振崴,剧情;同性,香港,汉语普通话,2018-03-30(中国大陆);2016-02-13(柏林电影节);2016-03-26(亚特兰大电影节)
三傻大闹宝莱坞,拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉;拉吉库马尔·希拉尼;阿西奇·乔希,阿米尔·汗;卡琳娜·卡普尔;马达范;沙尔曼·乔希;奥米·瓦依达;博曼·伊拉尼;莫娜·辛格;拉杰夫·拉宾德拉纳特安,剧情;喜剧;爱情;歌舞,印度,印地语 / 乌尔都语 / 英语,2011-12-08(中国大陆);2009-12-25(印度)
三分之一,品川祐,品川祐;木下半太,藤原龙也;中岛美嘉;田中圣;木村了;坛蜜;哀川翔;洼冢洋介;池畑慎之介;品川祐;小杉龙一,剧情;喜剧,日本,日语,2014-04-01(日本)
三十一,罗布·赞比,罗布·赞比,伊丽莎白·戴利;雪莉·穆恩·赞比;丹尼尔·洛巴克;Lawrence Hilton-Jacobs,惊悚;恐怖,美国 / 英国,英语,2016-09-16(美国)
三十极夜2：黑暗的日子,Ben Ketai,Steve Niles;Ben Ketai,Kiele Sanchez,恐怖,美国,英语,2010
三块广告牌,马丁·麦克唐纳,马丁·麦克唐纳,弗兰西斯·麦克多蒙德;伍迪·哈里森;山姆·洛克威尔;艾比·考尼什;卢卡斯·赫奇斯;彼特·丁拉基;约翰·浩克斯;卡赖伯·兰德里·琼斯;凯瑟琳·纽顿;凯瑞·康顿;泽利科·伊万内克;萨玛拉·维文;克拉克·彼得斯;尼克·西塞;阿曼达·沃伦;玛拉雅·瑞沃拉·德鲁;布兰登·萨克斯顿;迈克尔·艾伦·米利甘,剧情;犯罪,英国 / 美国,英语,2018-03-02(中国大陆);2017-09-04(威尼斯电影节);2017-12-01(美国)
三城记,张婉婷,张婉婷;罗启锐,刘青云;汤唯;秦海璐;井柏然;黄觉;金燕玲;李建义;焦刚;陈欣健,剧情;爱情,中国大陆 / 香港,汉语普通话,2015-08-27(中国大陆)
三天兩夜,長谷川康夫,饭田健三郎;喜多川康彦,唐泽寿明;江角真纪子;玉置浩二,剧情;喜剧;爱情,日本,日语,1997-05-17
三少爷的剑,尔冬升,古龙;徐克;尔冬升;秦天南,林更新;何润东;江一燕;蒋梦婕;鲍起静;顾曹斌;马京京;徐少强;顾冠忠;吴元俊;陆剑明;方平;原岛大地;林朝绪;宋伊人;铁男;王美英;飞儿;赵英龙;胡锦超;林晨;佟仲琪;田淼;寇骏;张小米;郭九龙;王德顺;刘广超;吴优;包小平;杨威;王昭;万国鹏;张文斌;周鹏;赖迦童;沈凯;陈墨研;张梓豫;马睿瀚;张喜来;红木;赵海鹰;魏晓东;蒿怡帆;蒿怡霏;马春瑞,剧情;动作;武侠;古装,中国大陆,汉语普通话,2016-12-02(中国大陆);2016-10-21(罗马国际电影节)
三幕悲剧,阿什利·皮尔斯,阿加莎·克里斯蒂;尼克·迪尔,大卫·苏切;马丁·肖;金伯莉·尼克松;阿特·马里克;珍·爱舍;汤姆·威斯多姆,剧情;悬疑;惊悚;犯罪,英国 / 美国,英语 / 法语,2010-01-01
三弦之恋,中江裕司,中江裕司;中江素子,西田尚美;村上淳,剧情,日本,日语,1999-12-04(日本)
三心两性,桥口亮辅,桥口亮辅,高桥和也;片冈礼子;田边诚一;秋野畅子;富士真奈美;光石研;服部佳;加濑亮,剧情;喜剧;同性,日本,日语,2001-05(戛纳电影节);2002-04-27(日本)
三生三世十里桃花,赵小丁;安东尼·拉默里纳拉,李晗;刘晗;麦灵;张亚亮;唐七,刘亦菲;杨洋;罗晋;严屹宽;李纯;顾璇;陈佩斯;彭子苏;张贺茗;王羽铮;塔拉,爱情;奇幻,中国大陆,汉语普通话,2017-08-03(中国大陆)
上学路上,方刚亮,赵冬苓,吴旭;艾丽娅;杨树林,家庭,中国,汉语普通话,2004(中国大陆)
上帝之国,弗朗西斯·李,弗朗西斯·李,乔什·奥康纳;亚力克·塞克雷亚努;杰玛·琼斯;哈利·莱斯特·史密斯;伊恩·哈特;梅拉尼·基尔伯恩;利亚姆·托马斯;帕齐·费伦;莫伊·哈桑;纳维德·乔杜里;莎拉·怀特,剧情;爱情;同性,英国,英语,2017-01-23(圣丹斯电影节);2017-09-01(英国)
上帝帮助女孩,Stuart Murdoch,Stuart Murdoch,汉娜·穆雷;艾米莉·布朗宁;奥利·亚历山大;皮埃尔·布朗格;科拉·比塞特;Sarah Swire;Mark Radcliffe;Stuart Maconie;Ann Scott-Jones;Josie Long;Pauline King;Kath Howden;Alex Klobouk;Paul Flanagan;Michael Drum,剧情;爱情;歌舞,英国,英语,2014-08-22(英国)
上帝难为,阿列克谢·日尔曼,阿列克谢·日尔曼;Svetlana Karmalita,列昂尼德·亚尔莫利尼克,剧情;科幻,俄罗斯 / 捷克,俄语,2013-11-13(罗马电影节);2014-02-27(俄罗斯)
上海王,胡雪桦,胡雪桦;虹影;庞贝,胡军;余男;凤小岳;秦昊;李梦;刘佩琦;曹可凡;蒲巴甲;多布杰;乔翰·厄布;何赛飞;徐冬冬;白灵,剧情;动作;爱情,中国大陆,汉语普通话 / 英语 / 上海话,2017-02-17(中国大陆);2016-06-19(上海电影节)
下众之爱,内田英治,内田英治,涩川清彦;冈野真也;忍成修吾;细田善彦;内田慈;津田宽治;木下邦家;古馆宽治;绪方义博;山崎祥江;川上奈奈美;松本克拉布;新井雅人;后藤由美;真由美樱;平冈亚希;谷手人;伊东红,剧情;爱情;情色,日本,日语,2015-10-24(东京电影节);2016-04-02(日本)
下水井,Jae-Young Shin,Jae-Young Shin,郑京浩;金赛纶;郑有美;赵达焕,剧情;悬疑;惊悚,韩国,韩语,2014-10-08(韩国)
下流祖父,丹·马泽,约翰·菲利普斯,罗伯特·德尼罗;扎克·埃夫隆;奥布瑞·普拉扎;佐伊·达奇;朱莉安·浩夫;德蒙特·莫罗尼;亚当·佩里;杰森·曼兹沃克斯;布兰登·史密斯;亨利·泽布罗夫斯基;尤金娜·库日敏娜;莫·柯林斯;杰克·皮克金,喜剧,美国,英语,2016-01-22(美国)
下课,本杰明·阿尔弗曼,布瑞恩·麦考利,迪伦·斯普罗斯;蕾·格雷;肯特·奥斯博内;艾莉西亚·戴尔莫;米切尔·爱德华兹;维多利亚·泽兹乌斯;克里斯·鲍尔;莱斯丽·瑟斯顿;马修·J·伊万斯;兰道尔·朴;马克·凯利;海伦·索拉娅;罗伯特·朗斯特里特;布鲁克·迪尔曼;珍妮特·摩丝;罗万·史密斯;欧文·达格特;多麦妮·哈维尔,惊悚;恐怖,美国,英语,2017-10-08(圣地亚哥电影节);2017-11-21(美国视频点播)
不一样的哭泣,李应福,,金所炫;孙承源,,韩国,,2014-10-05(韩国)
